OrderDate,Region,City,CustomerID,ProductCategory,ProductName,Quantity,SalesAmount,Profit
2025-11-16,South,Hyderabad,CUST6638,Snacks,Lays Chips 100g,10,3810,439
2024-06-28,South,Bengaluru,CUST6151,Bakery,Buns 4pcs,3,363,63
2024-01-23,North,Jaipur,CUST2539,Snacks,Bingo Mad Angles,3,1395,141
2024-07-14,East,Patna,CUST9814,Snacks,Bingo Mad Angles,3,705,121
2025-10-24,West,Mumbai,CUST8396,Fruits & Vegetables,Bananas 1kg,3,192,35
2025-10-22,East,Kolkata,CUST2702,Personal Care,Colgate Toothpaste,4,1384,260
2025-09-21,South,Bengaluru,CUST4543,Snacks,Bingo Mad Angles,7,1498,101
2024-11-09,West,Mumbai,CUST4463,Bakery,Britannia Bread,10,1500,123
2025-12-13,West,Pune,CUST7125,Bakery,Britannia Bread,1,434,70
2025-07-08,East,Patna,CUST1538,Beverages,Pepsi 2L,7,1442,105
2024-03-19,South,Chennai,CUST9968,Groceries,Aashirvaad Atta 5kg,6,1374,207
2025-05-03,South,Hyderabad,CUST1524,Snacks,KurKure 50g,1,259,22
2024-09-11,East,Kolkata,CUST2540,Dairy,Paneer 200g,8,3728,588
2024-05-04,East,Bhubaneswar,CUST9425,Beverages,Pepsi 2L,8,3920,202
2025-09-04,North,Delhi,CUST5910,Dairy,Paneer 200g,1,477,64
2025-01-29,South,Bengaluru,CUST8664,Household,Harpic Toilet Cleaner,2,702,99
2025-11-27,East,Bhubaneswar,CUST9680,Dairy,Paneer 200g,9,2700,177
2025-07-14,East,Bhubaneswar,CUST8763,Groceries,Fortune Oil 1L,3,1023,124
2024-10-16,West,Pune,CUST7547,Snacks,Lays Chips 100g,10,760,93
2025-06-26,East,Patna,CUST5251,Groceries,Aashirvaad Atta 5kg,2,626,44
2025-01-07,West,Pune,CUST2141,Snacks,Bingo Mad Angles,4,596,79
2025-01-28,East,Patna,CUST7352,Groceries,Aashirvaad Atta 5kg,3,1314,136
2024-12-29,North,Chandigarh,CUST4776,Personal Care,Dove Soap,2,298,42
2024-10-15,East,Bhubaneswar,CUST1351,Beverages,Red Bull 250ml,1,293,18
2025-01-11,South,Chennai,CUST8136,Household,Harpic Toilet Cleaner,5,970,50
2024-01-10,East,Bhubaneswar,CUST5329,Bakery,Buns 4pcs,3,849,128
2025-05-17,East,Bhubaneswar,CUST3605,Beverages,Coca Cola 2L,7,1197,160
2025-12-09,North,Jaipur,CUST8379,Bakery,Cake 500g,5,460,88
2025-10-20,East,Patna,CUST2502,Snacks,Lays Chips 100g,4,1832,214
2024-06-26,North,Chandigarh,CUST1363,Groceries,Tata Salt 1kg,6,1020,153
2025-10-20,North,Chandigarh,CUST4393,Bakery,Cake 500g,1,163,12
2024-05-16,West,Pune,CUST5849,Household,Harpic Toilet Cleaner,9,1611,215
2025-11-15,South,Hyderabad,CUST7226,Snacks,KurKure 50g,6,1152,175
2025-06-01,East,Bhubaneswar,CUST4092,Household,Vim Bar,4,1624,240
2024-11-12,West,Ahmedabad,CUST3925,Beverages,Pepsi 2L,10,4940,896
2024-04-20,North,Delhi,CUST0080,Personal Care,Colgate Toothpaste,8,1272,212
2024-08-15,East,Patna,CUST4128,Personal Care,Lux Soap,8,1024,164
2024-11-28,South,Bengaluru,CUST8848,Snacks,Bingo Mad Angles,9,1872,239
2024-10-09,North,Chandigarh,CUST3146,Beverages,Red Bull 250ml,3,339,52
2024-05-29,East,Kolkata,CUST0498,Household,Surf Excel 1kg,4,1576,208
2025-03-03,East,Kolkata,CUST3424,Fruits & Vegetables,Tomatoes 1kg,8,2432,270
2024-09-24,West,Mumbai,CUST2715,Household,Surf Excel 1kg,8,3784,686
2025-03-31,East,Bhubaneswar,CUST8495,Bakery,Britannia Bread,5,2420,480
2024-08-28,South,Hyderabad,CUST4876,Personal Care,Lux Soap,8,608,45
2025-12-05,North,Delhi,CUST8109,Personal Care,Colgate Toothpaste,7,693,39
2024-04-18,South,Hyderabad,CUST3815,Dairy,Paneer 200g,4,408,70
2025-02-04,North,Jaipur,CUST1276,Fruits & Vegetables,Bananas 1kg,5,1840,241
2024-11-04,West,Ahmedabad,CUST4013,Beverages,Red Bull 250ml,4,1620,262
2025-02-19,West,Pune,CUST5332,Personal Care,Lux Soap,5,1015,196
2025-06-21,West,Pune,CUST5214,Groceries,Fortune Oil 1L,10,3130,601
2024-01-19,South,Chennai,CUST3173,Snacks,Lays Chips 100g,4,956,62
2025-12-06,East,Patna,CUST3553,Fruits & Vegetables,Tomatoes 1kg,8,1600,131
2024-06-30,North,Delhi,CUST7490,Household,Harpic Toilet Cleaner,5,1665,226
2024-04-05,North,Jaipur,CUST6009,Fruits & Vegetables,Tomatoes 1kg,10,2640,453
2025-11-27,North,Delhi,CUST4283,Fruits & Vegetables,Tomatoes 1kg,6,2310,303
2024-10-31,East,Patna,CUST3712,Groceries,Fortune Oil 1L,1,190,32
2025-03-24,North,Chandigarh,CUST4913,Household,Vim Bar,7,861,99
2025-12-18,South,Bengaluru,CUST1031,Fruits & Vegetables,Tomatoes 1kg,5,380,56
2025-04-15,South,Chennai,CUST7687,Groceries,Tata Salt 1kg,3,318,44
2024-01-03,West,Pune,CUST1301,Beverages,Coca Cola 2L,3,183,26
2024-09-18,North,Chandigarh,CUST5241,Household,Harpic Toilet Cleaner,5,1000,150
2025-10-14,East,Bhubaneswar,CUST2068,Personal Care,Dove Soap,1,213,25
2025-12-13,South,Bengaluru,CUST9733,Groceries,Fortune Oil 1L,6,2664,170
2025-02-23,West,Mumbai,CUST0014,Snacks,KurKure 50g,3,1281,207
2025-01-18,North,Jaipur,CUST6157,Personal Care,Colgate Toothpaste,1,54,7
2025-06-12,East,Patna,CUST6387,Groceries,Tata Salt 1kg,5,1000,184
2025-03-22,North,Chandigarh,CUST7517,Bakery,Britannia Bread,2,782,154
2024-02-07,West,Pune,CUST9012,Dairy,Amul Milk 1L,5,2150,260
2024-12-08,South,Chennai,CUST6723,Groceries,Fortune Oil 1L,2,398,40
2025-08-21,East,Bhubaneswar,CUST5873,Dairy,Amul Milk 1L,9,3276,593
2024-11-23,South,Hyderabad,CUST6220,Fruits & Vegetables,Tomatoes 1kg,6,1386,218
2024-03-22,South,Bengaluru,CUST3174,Snacks,Bingo Mad Angles,10,4170,720
2024-08-01,North,Jaipur,CUST0023,Personal Care,Dove Soap,2,254,24
2025-06-30,East,Patna,CUST0096,Groceries,Aashirvaad Atta 5kg,1,363,32
2024-04-26,East,Patna,CUST1489,Bakery,Cake 500g,10,2380,457
2025-06-21,East,Patna,CUST8886,Household,Harpic Toilet Cleaner,4,612,80
2024-12-23,North,Delhi,CUST8427,Beverages,Red Bull 250ml,8,2112,292
2025-09-08,South,Chennai,CUST5219,Fruits & Vegetables,Bananas 1kg,2,906,129
2025-08-12,North,Delhi,CUST8188,Fruits & Vegetables,Apples 1kg,3,891,91
2025-07-27,West,Pune,CUST1137,Bakery,Britannia Bread,2,596,63
2024-01-29,North,Jaipur,CUST6139,Groceries,Aashirvaad Atta 5kg,2,428,65
2025-03-22,South,Chennai,CUST1756,Household,Surf Excel 1kg,10,4830,881
2025-04-15,West,Ahmedabad,CUST2512,Household,Surf Excel 1kg,8,2976,291
2025-02-07,West,Mumbai,CUST8016,Snacks,KurKure 50g,2,136,10
2025-12-20,East,Bhubaneswar,CUST6193,Fruits & Vegetables,Tomatoes 1kg,3,576,67
2025-08-21,South,Bengaluru,CUST4867,Household,Harpic Toilet Cleaner,2,458,88
2025-07-10,North,Jaipur,CUST2839,Dairy,Amul Milk 1L,4,440,74
2025-08-29,East,Kolkata,CUST9665,Snacks,Lays Chips 100g,8,1848,250
2025-09-19,East,Bhubaneswar,CUST0349,Personal Care,Lux Soap,6,516,61
2025-02-05,South,Chennai,CUST4761,Household,Vim Bar,7,952,143
2025-01-29,North,Chandigarh,CUST2459,Dairy,Paneer 200g,3,1377,218
2025-11-20,South,Hyderabad,CUST0908,Household,Harpic Toilet Cleaner,10,3950,692
2025-10-07,West,Ahmedabad,CUST1399,Bakery,Buns 4pcs,4,244,41
2024-01-11,West,Pune,CUST4150,Beverages,Coca Cola 2L,1,259,37
2024-09-14,West,Pune,CUST4927,Beverages,Coca Cola 2L,1,102,10
2025-07-17,West,Pune,CUST0121,Snacks,Lays Chips 100g,2,680,115
2025-10-07,East,Patna,CUST5203,Household,Harpic Toilet Cleaner,8,2216,329
2024-04-05,South,Chennai,CUST8968,Dairy,Paneer 200g,5,1525,123
2024-09-10,West,Mumbai,CUST9498,Dairy,Britannia Cheese,3,1173,219
2024-05-05,East,Patna,CUST6726,Snacks,KurKure 50g,6,972,72
2025-10-16,South,Hyderabad,CUST1546,Dairy,Amul Milk 1L,3,894,132
2025-09-23,West,Ahmedabad,CUST4564,Groceries,Tata Salt 1kg,4,512,59
2024-09-02,North,Jaipur,CUST0468,Beverages,Pepsi 2L,1,302,37
2024-03-07,East,Bhubaneswar,CUST0762,Groceries,Aashirvaad Atta 5kg,2,882,176
2024-01-19,West,Ahmedabad,CUST8563,Bakery,Buns 4pcs,6,1626,90
2025-11-08,East,Bhubaneswar,CUST8726,Beverages,Red Bull 250ml,1,104,13
2024-04-15,North,Delhi,CUST4805,Snacks,Bingo Mad Angles,10,4560,679
2025-05-16,West,Pune,CUST4647,Household,Surf Excel 1kg,8,504,45
2025-03-14,North,Delhi,CUST2803,Beverages,Pepsi 2L,6,2214,193
2025-06-10,South,Hyderabad,CUST2601,Beverages,Red Bull 250ml,8,616,69
2024-02-07,West,Pune,CUST0862,Snacks,Lays Chips 100g,1,154,14
2025-02-08,East,Patna,CUST4897,Bakery,Cake 500g,8,2304,326
2024-11-27,North,Jaipur,CUST6053,Snacks,KurKure 50g,8,1200,178
2024-03-30,West,Ahmedabad,CUST1374,Fruits & Vegetables,Apples 1kg,10,4530,515
2024-09-21,North,Jaipur,CUST0226,Beverages,Pepsi 2L,9,4293,545
2024-10-18,South,Chennai,CUST8479,Bakery,Cake 500g,1,90,14
2025-08-07,East,Bhubaneswar,CUST3918,Groceries,Tata Salt 1kg,10,2430,457
2025-10-14,North,Delhi,CUST0291,Beverages,Pepsi 2L,7,1750,247
2024-07-28,West,Pune,CUST5982,Personal Care,Colgate Toothpaste,4,1540,291
2024-12-07,East,Patna,CUST1718,Fruits & Vegetables,Tomatoes 1kg,4,376,35
2025-07-27,West,Pune,CUST9102,Dairy,Amul Milk 1L,1,251,43
2025-11-26,South,Chennai,CUST7307,Household,Surf Excel 1kg,1,221,27
2025-07-26,North,Delhi,CUST7058,Bakery,Cake 500g,4,1220,195
2024-11-12,West,Mumbai,CUST7841,Groceries,Tata Salt 1kg,9,2412,237
2024-01-13,West,Pune,CUST1033,Personal Care,Colgate Toothpaste,5,1095,114
2025-09-12,West,Ahmedabad,CUST6894,Household,Vim Bar,3,1167,90
2025-02-15,South,Hyderabad,CUST8401,Groceries,Tata Salt 1kg,3,489,68
2024-05-07,West,Ahmedabad,CUST9630,Snacks,KurKure 50g,9,2484,451
2025-03-06,North,Delhi,CUST8043,Dairy,Britannia Cheese,10,2630,161
2025-11-14,East,Bhubaneswar,CUST7027,Fruits & Vegetables,Apples 1kg,2,612,115
2024-05-15,North,Delhi,CUST6149,Snacks,KurKure 50g,10,1350,194
2025-02-18,South,Chennai,CUST4865,Fruits & Vegetables,Apples 1kg,10,3150,275
2025-04-12,South,Bengaluru,CUST9900,Snacks,KurKure 50g,5,1030,69
2024-07-24,North,Chandigarh,CUST7329,Bakery,Britannia Bread,4,472,47
2024-08-09,South,Chennai,CUST6789,Beverages,Pepsi 2L,9,2673,301
2024-03-23,East,Bhubaneswar,CUST1311,Dairy,Paneer 200g,2,906,91
2025-05-03,East,Bhubaneswar,CUST1809,Household,Vim Bar,1,442,26
2024-04-12,West,Mumbai,CUST2674,Dairy,Amul Milk 1L,5,355,21
2024-02-11,North,Chandigarh,CUST5893,Groceries,Tata Salt 1kg,9,2304,170
2024-05-13,South,Chennai,CUST3372,Personal Care,Dove Soap,8,1744,115
2025-06-13,East,Bhubaneswar,CUST8165,Personal Care,Colgate Toothpaste,3,1260,98
2025-05-31,West,Ahmedabad,CUST7284,Bakery,Britannia Bread,8,1680,150
2025-04-03,East,Bhubaneswar,CUST0996,Snacks,Bingo Mad Angles,6,2880,362
2025-06-30,East,Kolkata,CUST9297,Personal Care,Colgate Toothpaste,6,954,135
2025-03-20,North,Jaipur,CUST9914,Personal Care,Dove Soap,5,995,175
2025-09-20,North,Delhi,CUST1692,Snacks,Lays Chips 100g,5,2095,180
2024-03-07,South,Hyderabad,CUST8835,Personal Care,Lux Soap,3,1107,63
2024-12-20,North,Delhi,CUST6336,Household,Surf Excel 1kg,7,539,99
2024-02-25,West,Mumbai,CUST1148,Household,Harpic Toilet Cleaner,6,2394,262
2025-12-04,West,Ahmedabad,CUST4953,Snacks,Bingo Mad Angles,2,426,72
2025-01-26,South,Chennai,CUST8135,Dairy,Paneer 200g,9,4455,522
2024-08-31,East,Bhubaneswar,CUST2028,Dairy,Amul Milk 1L,4,1408,83
2025-09-27,East,Bhubaneswar,CUST7126,Fruits & Vegetables,Bananas 1kg,4,392,30
2025-03-06,East,Bhubaneswar,CUST7244,Fruits & Vegetables,Tomatoes 1kg,5,1755,150
2024-03-21,North,Chandigarh,CUST0260,Fruits & Vegetables,Bananas 1kg,9,3240,515
2025-01-30,East,Kolkata,CUST9195,Bakery,Cake 500g,1,317,50
2024-10-08,North,Chandigarh,CUST2142,Fruits & Vegetables,Apples 1kg,5,715,43
2024-07-07,East,Patna,CUST5953,Personal Care,Dove Soap,10,3440,265
2025-07-03,North,Delhi,CUST9266,Groceries,Aashirvaad Atta 5kg,5,1905,191
2024-11-24,North,Delhi,CUST6186,Beverages,Red Bull 250ml,8,3544,246
2024-10-03,East,Kolkata,CUST8943,Snacks,KurKure 50g,4,288,48
2025-09-15,East,Bhubaneswar,CUST8291,Beverages,Pepsi 2L,8,616,80
2024-12-17,East,Kolkata,CUST5588,Dairy,Britannia Cheese,4,1304,99
2024-07-24,South,Bengaluru,CUST0179,Bakery,Buns 4pcs,2,626,46
2024-02-02,South,Bengaluru,CUST4558,Groceries,Fortune Oil 1L,6,2352,419
2025-01-30,South,Chennai,CUST6553,Beverages,Pepsi 2L,4,268,41
2025-11-11,West,Pune,CUST9649,Fruits & Vegetables,Apples 1kg,3,1086,75
2025-10-13,West,Mumbai,CUST6512,Fruits & Vegetables,Tomatoes 1kg,5,825,131
2024-01-31,East,Patna,CUST7955,Fruits & Vegetables,Tomatoes 1kg,2,614,82
2024-07-16,North,Chandigarh,CUST3102,Groceries,Tata Salt 1kg,1,451,53
2025-12-01,East,Patna,CUST0884,Fruits & Vegetables,Bananas 1kg,8,2216,329
2025-03-09,North,Delhi,CUST0935,Personal Care,Dove Soap,10,3540,239
2025-08-21,West,Pune,CUST9110,Snacks,KurKure 50g,3,1269,63
2025-11-12,South,Bengaluru,CUST7995,Dairy,Britannia Cheese,6,1230,180
2025-07-31,West,Pune,CUST5855,Household,Surf Excel 1kg,8,1000,152
2024-04-01,West,Ahmedabad,CUST5718,Bakery,Buns 4pcs,5,2440,297
2025-01-17,North,Delhi,CUST6587,Dairy,Amul Milk 1L,3,1284,118
2024-06-17,South,Hyderabad,CUST1425,Household,Vim Bar,4,1680,131
2025-03-13,West,Mumbai,CUST6717,Groceries,Fortune Oil 1L,1,395,62
2025-04-04,West,Mumbai,CUST8224,Bakery,Buns 4pcs,4,1440,203
2025-06-27,North,Jaipur,CUST6710,Beverages,Coca Cola 2L,6,2952,168
2025-09-27,East,Patna,CUST8993,Dairy,Amul Milk 1L,2,168,13
2025-08-18,North,Delhi,CUST0280,Bakery,Cake 500g,1,220,19
2024-10-28,West,Mumbai,CUST8455,Fruits & Vegetables,Tomatoes 1kg,10,3980,213
2024-10-26,North,Jaipur,CUST2073,Household,Harpic Toilet Cleaner,5,2460,339
2024-04-19,East,Bhubaneswar,CUST9884,Snacks,Lays Chips 100g,4,1944,164
2024-02-27,West,Ahmedabad,CUST8174,Household,Surf Excel 1kg,9,2844,327
2024-11-23,West,Mumbai,CUST4381,Personal Care,Lux Soap,9,2970,356
2024-03-27,South,Hyderabad,CUST3957,Dairy,Paneer 200g,9,2871,254
2024-03-04,East,Kolkata,CUST7287,Personal Care,Dove Soap,6,2664,352
2024-10-01,East,Bhubaneswar,CUST5761,Personal Care,Colgate Toothpaste,9,1953,184
2024-09-10,North,Delhi,CUST1741,Dairy,Paneer 200g,10,1900,357
2024-07-06,West,Mumbai,CUST8838,Personal Care,Dove Soap,7,1344,251
2024-09-07,South,Hyderabad,CUST8149,Groceries,Fortune Oil 1L,10,1240,109
2024-06-22,South,Chennai,CUST1738,Household,Surf Excel 1kg,2,246,41
2025-01-26,West,Mumbai,CUST8545,Fruits & Vegetables,Tomatoes 1kg,1,265,30
2024-12-14,South,Bengaluru,CUST4314,Personal Care,Dove Soap,3,558,38
2024-10-21,East,Kolkata,CUST2548,Fruits & Vegetables,Tomatoes 1kg,2,322,44
2025-06-14,South,Hyderabad,CUST2831,Bakery,Cake 500g,7,2954,389
2024-12-08,West,Pune,CUST5702,Personal Care,Lux Soap,5,1880,333
2024-04-11,North,Chandigarh,CUST6543,Beverages,Pepsi 2L,10,2390,211
2025-01-20,West,Pune,CUST3685,Snacks,Bingo Mad Angles,4,1128,183
2025-06-23,West,Mumbai,CUST7870,Snacks,KurKure 50g,2,798,41
2024-10-31,South,Chennai,CUST7008,Beverages,Red Bull 250ml,2,948,133
2024-12-06,North,Delhi,CUST0832,Fruits & Vegetables,Bananas 1kg,5,1040,107
2024-10-08,East,Bhubaneswar,CUST6507,Dairy,Paneer 200g,10,3260,397
2025-03-28,South,Hyderabad,CUST2586,Personal Care,Lux Soap,2,778,101
2025-02-25,West,Pune,CUST4093,Snacks,Lays Chips 100g,4,676,83
2024-11-08,South,Hyderabad,CUST4308,Personal Care,Dove Soap,4,212,15
2025-07-27,West,Mumbai,CUST6560,Snacks,Lays Chips 100g,8,856,114
2025-04-15,East,Patna,CUST5730,Personal Care,Colgate Toothpaste,2,822,44
2024-10-31,South,Chennai,CUST1206,Fruits & Vegetables,Bananas 1kg,5,1780,155
2024-06-10,West,Pune,CUST7264,Beverages,Coca Cola 2L,7,728,80
2024-11-13,South,Bengaluru,CUST8488,Household,Vim Bar,9,3474,332
2025-03-02,North,Chandigarh,CUST8524,Beverages,Pepsi 2L,3,471,84
2025-05-30,East,Kolkata,CUST5274,Snacks,Bingo Mad Angles,10,520,31
2025-08-28,East,Bhubaneswar,CUST9980,Bakery,Britannia Bread,3,423,70
2025-08-02,North,Delhi,CUST9916,Groceries,Fortune Oil 1L,1,188,13
2024-12-11,North,Chandigarh,CUST2476,Fruits & Vegetables,Tomatoes 1kg,2,342,23
2025-08-20,North,Jaipur,CUST7737,Bakery,Britannia Bread,1,249,49
2024-06-26,South,Bengaluru,CUST1319,Bakery,Cake 500g,2,762,138
2025-03-01,West,Mumbai,CUST7060,Fruits & Vegetables,Tomatoes 1kg,1,171,23
2025-11-12,South,Chennai,CUST7987,Dairy,Paneer 200g,5,1780,312
2024-10-27,North,Delhi,CUST8622,Fruits & Vegetables,Tomatoes 1kg,4,452,30
2025-08-26,North,Jaipur,CUST1891,Fruits & Vegetables,Apples 1kg,3,1443,130
2025-06-03,East,Bhubaneswar,CUST7138,Snacks,Bingo Mad Angles,5,920,89
2025-12-15,West,Pune,CUST9448,Fruits & Vegetables,Apples 1kg,4,1328,72
2025-01-20,South,Hyderabad,CUST1195,Dairy,Britannia Cheese,4,768,42
2025-01-22,East,Bhubaneswar,CUST1671,Personal Care,Dove Soap,3,1494,183
